"SKU "	"ProductName "	"Description "	"ItemType"	"MainImageURL "	"Length"	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "	"Width"	"TotalMetalWeight "	"earringback"	"StoneColor1 "	"StoneClarity1"	"StoneShape1"	"category"	"link"	"image_link"
"SDR3494"	"14K White Gold Diamond Wedding Band Set 4.05 Ctw"	"This glamorous diamond wedding ring set is crafted in lustrous 14K White Gold. The engagement ring and womens wedding band are both adorned with small princess cut diamonds. The mens matching wedding band is also adorned with small princess cut diamonds and measures to approximately 3/16 Inches in width. Detailed to absolute perfection, this elegant diamond wedding three  ring set weighs approximately 13.5 grams."	"Diamond Ring Set"	"/S/D/SDR3494-5.jpg"	""	"4.05 Ctw"	""	"White"	"14K Gold"	"Invisible"	"12500.0000"	"4167.0000"	""	"1.0000"	""	"G , H"	"SI1 , SI2"	"Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4282/s/14k-white-gold-diamond-wedding-ring-set-4-05-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//S/D/SDR3494-5.jpg"
"SDR3493"	"14K White Gold Diamond Wedding Band Set 3.25 Ctw"	"This one of a kind diamond wedding band set is crafted in highly polished 14K White Gold. The engagement ring and matching womens wedding band are both adorned with small princess cut diamonds. The mens matching wedding band is also adorned with small princess cut diamonds and measures to 3/16 Inches in width. Weighing approximately 13 grams, this finely detailed diamond wedding three ring set is an ideal set for both him and her."	"Diamond Ring Set"	"/S/D/SDR3493-1.jpg"	""	"3.25 Ctw"	""	"White"	"14K Gold"	"Invisible"	"11000.0000"	"3667.0000"	""	"1.0000"	""	"G , H"	"SI1 , SI2"	"Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4283/s/14k-white-gold-diamond-wedding-ring-set-3-25-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//S/D/SDR3493-1.jpg"
"VR03719"	"10K Yellow Gold Diamond Wedding Band Set 0.69 Ctw"	"This lovely diamond wedding ring set is crafted in 10K Yellow Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching wedding band which measures to 3/16 Inches in width. The bridal set comes with an additional mens diamond wedding band which measures to 3/8 Inches in width. Weighing approximately 6.4 grams, this elegant diamond three ring wedding ring set is an ideal set for him and her. "	"Diamond Ring Set"	"/v/r/vr03719-1_1.jpg"	""	"0.69 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave"	"1950.0000"	"650.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4805/s/10k-yellow-gold-diamond-wedding-band-set-0-80-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03719-1_1.jpg"
"VR05367"	"10K Yellow Gold Diamond Wedding Band Set 0.75 Ctw"	"Crafted in highly gleaming 10K Yellow Gold, this elegant wedding band set weighs approximately 8.4 grams. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/4 Inches in width. The bridal ring set comes with an additional matching mens wedding band which measures to 1/4 Inches in width and is also pave set with numerous small round cut diamonds. This elegant three ring diamond set is an ideal gift for him and her. "	"Diamond Ring Set"	"/v/r/vr05367-1_1.jpg"	""	"0.75 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave"	"1950.0000"	"650.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4807/s/10k-yellow-gold-diamond-wedding-band-set-0-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05367-1_1.jpg"
"VR04270A"	"10K White Gold Diamond Wedding Band Set 1.75 Ctw"	"This beautiful diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens wedding band which measures to 1/4 Inches in width. The bridal ring set comes with an additional matching mens wedding band which measures to 1/4 Inches in width and also features small round cut pave set diamonds. Weighing approximately 10 grams this one of a kind three ring wedding band set is an ideal gift for both him and her."	"Diamond Ring Set"	"/v/r/vr04270a-5.jpg"	""	"1.75 Ctw"	""	"White"	"10K Gold"	"Pave"	"2300.0000"	"767.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4809/s/10k-white-gold-diamond-wedding-band-set-1-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04270a-5.jpg"
"VR05371"	"10K Yellow Gold Diamond Wedding Band Set 0.85 Ctw"	"Gleaming in absolute elegance, this uniquely designed wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional matching mens wedding band which is pave set with small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 7.4 grams, this glamorous diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr05371-1_1.jpg"	""	"0.85 Ctw"	""	"Yellow"	"10K Gold"	"Pave"	"1750.0000"	"584.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4810/s/10k-yellow-gold-diamond-wedding-band-set-0-85-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05371-1_1.jpg"
"VR03014"	"10K White Gold Diamond Wedding Band Set 0.80 Ctw"	"Elegant in appearance, this lovely diamond wedding band set is crafted in 10K white gold. The engagement ring is set with brilliant round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with a matching mens diamond wedding band which measures to 3/16 Inches in width and is also adorned with small round cut diamonds. Weighing approximately 7.4 grams, this three ring diamond wedding band set is an ideal gift idea for both him and her."	"Diamond Ring Set"	"/v/r/vr03014-1_1.jpg"	""	"0.80 Ctw"	""	"White"	"10K Gold"	"Pave, Micro Pave"	"1785.0000"	"595.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4811/s/10k-white-gold-diamond-wedding-band-set-0-80-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03014-1_1.jpg"
"VR05371A"	"10K White Gold Diamond Wedding Band Set 0.85 Ctw"	"This glamorous diamond wedding band set is crafted in 10K White Gold. The engagement ring is set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/4 Inches in width. The bridal ring set comes with a matching mens diamond wedding band which is also set with small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 7.4 grams, this one of a kind three ring diamond wedding band set is an ideal gift idea for both him and her. "	"Diamond Ring Set"	"/v/r/vr05371a-1_2.jpg"	""	"0.85 Ctw"	""	"White"	"10K Gold"	"Micro Pave, Pave"	"1450.0000"	"484.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4812/s/10k-white-gold-diamond-wedding-band-set-0-85-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05371a-1_2.jpg"
"VR04092"	"10K White Gold Diamond Wedding Band Set 0.45 Ctw"	"This glamorous diamond wedding band set is crafted in 10K white gold. The engagement ring is set with brilliant small round cut diamonds and comes with a matching womens wedding band which measures to 1/8 Inches in width. This bridal ring set comes with an additional matching mens diamond wedding band which measures to 1/8 Inches in width. Weighing approximately 8.7 grams this elegant three ring diamond wedding band set is an ideal gift for both him and her."	"Diamond Ring Set"	"/v/r/vr04092-1.jpg"	""	"0.45 Ctw"	""	"White"	"10K Gold"	"Channel, Micro Pave"	"1060.0000"	"354.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4813/s/10k-white-gold-diamond-wedding-band-set-0-45-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04092-1.jpg"
"VR04046"	"10K White Gold Diamond Wedding Band Set 0.65 Ctw"	"This lovely diamond wedding band set is crafted in highly gleaming 10K White Gold. The engagement ring is set with small round cut diamonds and comes with a matching womens wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which measures to 3/16 Inches in width and is also adorned with channel set round cut diamonds. Weighing approximately 9.5 grams, this elegant three ring diamond wedding band set is an ideal gift for both him and her."	"Diamond Ring Set"	"/v/r/vr04046-1_2_1.jpg"	""	"0.65 Ctw"	""	"White"	"10K Gold"	"Channel, Micro Pave"	"1575.0000"	"525.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4814/s/10k-white-gold-diamond-wedding-band-set-0-65-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04046-1_2_1.jpg"
"VR05596"	"10K Two Tone Gold Diamond Wedding Band Set 0.80 Ctw"	"This large diamond wedding band set is crafted in 10K yellow and white gold. The engagement ring is pave set with small round cut diamonds and crafted in both white and yellow gold. The engagement ring comes with a matching womens wedding band which measures to 1/4 Inches in width and pave set with numerous small round cut diamonds. The bridal ring set comes with an additional mens diamond wedding band which measures to 5/16 Inches in width. This two tone diamond three ring wedding set is an ideal gift for both him and her."	"Diamond Ring Set"	"/v/r/vr05595-1.jpg"	""	"0.80 Ctw"	""	"White , Yellow"	"10K Gold"	"Pave"	"2150.0000"	"717.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4815/s/10k-white-gold-diamond-wedding-band-set-0-80-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05595-1.jpg"
"VR003718"	"10K White Gold Diamond Wedding Band Set 0.55 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 6.3 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr003718a-1_1.jpg"	""	"0.55 Ctw"	""	"White"	"10K Gold"	"Micro Pave"	"1575.0000"	"525.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4816/s/10k-white-gold-diamond-wedding-band-set-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr003718a-1_1.jpg"
"VR04270"	"10K Yellow Gold Diamond Wedding Band Set 1.75 Ctw"	"This elegant diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/4 Inches in width. The bridal ring set comes with an additional matching mens diamond wedding band which also measures to 1/4 Inches in width. Weighing approximately 10 grams, this exquisite three ring diamond wedding band set is an ideal accessory for both him and her."	"Diamond Ring Set"	"/v/r/vr04270-4.jpg"	""	"1.75 Ctw"	""	"Yellow"	"10K Gold"	"Pave"	"2600.0000"	"867.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4817/s/10k-yellow-gold-diamond-wedding-band-set-1-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04270-4.jpg"
"VR003721"	"10K Yellow Gold Diamond Wedding Band Set 0.55 Ctw"	"This elegant diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/8 Inches in width. The bridal ring set comes with an additional matching mens wedding band which measures to 1/4 Inches in width. Weighing approximately 5.6 grams, this lovely diamond three ring wedding band set is an ideal gift for both occasions. "	"Diamond Ring Set"	"/v/r/vr003721-1_1.jpg"	""	"0.55 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave"	"1780.0000"	"594.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4818/s/10k-yellow-gold-diamond-wedding-band-set-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr003721-1_1.jpg"
"VR003721A"	"10K White Gold Diamond Wedding Band Set 0.55 Ctw"	"This lovely diamond wedding band set is crafted in highly gleaming 10K white gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional matching mens diamond wedding band which is pave set with small round cut diamonds and measures to 1/4 Inches in width. Weighing a total of 5.6 grams, this three ring diamond wedding band set is an ideal gift for both occasions. "	"Diamond Ring Set"	"/v/r/vr003721a-1.jpg"	""	"0.55 Ctw"	""	"White"	"10K Gold"	"Micro Pave"	"1780.0000"	"594.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Womens Wedding Bands"	"http://www.avianneandco.com/store/catalog/product/view/id/4820/s/10k-white-gold-diamond-wedding-band-set-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr003721a-1.jpg"
"VR03034"	"10K White Gold Diamond Wedding Band Set 0.75 Ctw"	"This elegantly designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is adorned with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional matching mens diamond wedding band which measures to 1/4 Inches in width and adorned with small round cut diamonds. This lovely diamond three ring wedding band set is an ideal gift for both occasions."	"Diamond Ring Set"	"/v/r/vr03034-1.jpg"	""	"0.75 Ctw "	""	"White"	"10K Gold"	"Pave, Cluster"	"2250.0000"	"750.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4821/s/10k-white-gold-diamond-wedding-band-set-0-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03034-1.jpg"
"VR05367A"	"10K White Gold Diamond Wedding Band Set 0.75 Ctw"	"This elegant womens diamond wedding band set is crafted in 10K white gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 inches in width. The bridal ring set comes with a matching mens diamond wedding band which is adorned with small diamonds and measures to 1/4 inches in width. This simple diamond three ring wedding band set is an ideal gift at an affordable value."	"Diamond Ring Set"	"/v/r/vr05367a-1_1.jpg"	""	"0.75 Ctw"	""	"White"	"10K Gold"	"Micro Pave, Pave"	"1950.0000"	"650.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4826/s/10k-white-gold-diamond-wedding-band-set-0-75-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05367a-1_1.jpg"
"VR02779"	"10K White Gold Diamond Wedding Band Set 0.45 Ctw"	"This simple diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 inches in width. The bridal ring set comes with an additional mens wedding band which measures to 3/16 Inches in width. Elegant in design, this three ring diamond wedding set is an ideal gift for both occasions."	"Diamond Ring Set"	"/v/r/vr02779-1.jpg"	""	"0.45 Ctw"	""	"White"	"10K Gold"	"Micro Pave, Channel "	"1070.0000"	"357.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4827/s/10k-white-gold-diamond-wedding-band-set-0-45-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr02779-1.jpg"
"VR3020"	"10K White Gold Diamond Wedding Band Set 0.95 Ctw"	"Crafted in 10K white gold, this elegant diamond wedding band set weighs approximately 8.7 grams. The engagement ring is set with small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/4 inches in width. The bridal ring set comes with an additional matching mens wedding band which measures to 1/4 inches in width and pave set with small round cut diamonds. "	"Diamond Ring Set"	"/v/r/vr3020-1_1.jpg"	""	"0.95 Ctw"	""	"White"	"10K Gold"	"Cluster, Pave"	"2150.0000"	"717.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4828/s/10k-white-gold-diamond-wedding-band-set-0-95-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr3020-1_1.jpg"
"VR003718A"	"10K Yellow Gold Diamond Wedding Band Set 0.55 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 6.3 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr003718-1_1.jpg"	""	"0.55 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave"	"1575.0000"	"525.0000"	""	"1.0000"	""	"H , I"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/4910/s/10k-white-gold-diamond-wedding-band-set-0-55-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr003718-1_1.jpg"
"R3103"	"14K White Gold Diamond Wedding Band Set 3.00 Ctw"	"This one of a kind diamond wedding band set is crafted in highly gleaming 14K white gold. The center of the engagement ring is invisibly set with six princess cut diamonds and baguette cut side stones. The womens wedding band is also channel set with brilliant baguette cut diamonds. The matching mens wedding band features small baguette cut diamonds which are channel set half way around the band. This exquisite diamond three ring set is an ideal gift for him and her. "	"Diamond Ring Set"	"/r/3/r3103-1_1.jpg"	""	"3.00 Ctw "	""	"White"	"14K Gold"	"Invisible, Channel "	"7150.0000"	"2384.0000"	""	"1.0000"	""	"G"	"VS2"	"Baguette , Princess"	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/5702/s/14k-white-gold-diamond-wedding-band-set-3-00-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//r/3/r3103-1_1.jpg"
"VR03797"	"10K White Gold Diamond Wedding Band Set 0.40 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/8 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 1/8 Inches in width. Weighing approximately 6.2 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr03797-4.jpg"	""	"0.40 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"1470.0000"	"490.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/6681/s/10k-white-gold-diamond-wedding-band-set-0-40-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03797-4.jpg"
"VR05377A"	"10K White Gold Diamond Wedding Band Set 0.26 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/8 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 3/16 Inches in width. Weighing approximately 5.4 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr05377a-1_1.jpg"	""	"0.26 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"1180.0000"	"399.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/6682/s/10k-white-gold-diamond-wedding-band-set-0-26-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05377a-1_1.jpg"
"VR05377"	"10K Yellow Gold Diamond Wedding Band Set 0.26 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/8 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 3/16 Inches in width. Weighing approximately 5.4 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr05377-1_1.jpg"	""	"0.26 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	"1180.0000"	"394.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/6683/s/10k-yellow-gold-diamond-wedding-band-set-0-26-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr05377-1_1.jpg"
"VR06426A"	"10K White Gold Diamond Wedding Band Set 0.37 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/8 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 10.4 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr06426a-1_1.jpg"	""	"0.37 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"2130.0000"	"719.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/6684/s/10k-white-gold-diamond-wedding-band-set-0-37-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr06426a-1_1.jpg"
"VR04276"	"10K Yellow Gold Diamond Wedding Band Set 0.48 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K Yellow Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/8 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 1/8 Inches in width. Weighing approximately 9 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr04276-1_1.jpg"	""	"0.48 Ctw"	""	"Yellow"	"10K Gold"	"Micro Pave "	"2060.0000"	"687.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/6685/s/10k-yellow-gold-diamond-wedding-band-set-0-48-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04276-1_1.jpg"
"VR04276A"	"10K White Gold Diamond Wedding Band Set 0.48 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 1/8 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 1/8 Inches in width. Weighing approximately 9 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr04276a-1_1.jpg"	""	"0.48 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"2060.0000"	"689.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/6686/s/10k-white-gold-diamond-wedding-band-set-0-48-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr04276a-1_1.jpg"
"VR03792A"	"10K White Gold Diamond Wedding Band Set 0.36 Ctw"	"Gleaming in absolute elegance, this uniquely designed diamond wedding band set is crafted in 10K White Gold. The engagement ring is pave set with brilliant small round cut diamonds and comes with a matching womens diamond wedding band which measures to 3/16 Inches in width. The bridal ring set comes with an additional mens diamond wedding band which is also pave set with numerous small round cut diamonds and measures to 1/4 Inches in width. Weighing approximately 5.8 grams, this lovely diamond three ring wedding band set is an ideal gift for him and her."	"Diamond Ring Set"	"/v/r/vr03792a-1_1.jpg"	""	"0.36 Ctw"	""	"White"	"10K Gold"	"Micro Pave "	"1375.0000"	"459.0000"	""	"1.0000"	""	"H"	"SI1 , SI2"	"Round "	"Root Catalog>Wedding>Root Catalog>Wedding>Wedding>Wedding Band Sets>Root Catalog>Wedding>Wedding"	"http://www.avianneandco.com/store/catalog/product/view/id/6687/s/10k-white-gold-diamond-wedding-band-set-0-36-ctw/"	"http://www.avianneandco.com/store/media/catalog/product//v/r/vr03792a-1_1.jpg"
