"Parentage"	"ProductName "	"Description "	"ItemType"	"image_link "	"Length"	"TotalMetalWeight "	"TotalDiamondWeight "	"gemstonecarat"	"MetalType "	"MetalStamp "	"SettingType "	"MSRP "	"ItemPrice "
"ER4632"	"14K White Gold Diamond Stud Earrings 3.30 Ctw"	"Crafted in lustrous 14K White Gold, these finely detailed diamond stud earrings weigh approximately 8.2 grams. The square shape frame is highlighted with sixteen princess which are carefully placed on an invisible setting. Ideal for both men and women, these diamond earrings gleam with exquisiteness and originality. "	"Diamond Earring"	"/e/r/er4632-1.jpg"	"1/2 Inches (12 mm)"	"1.0000"	"3.30 Ctw "	""	"White"	"14K Gold"	"Invisible"	"6500.0000"	"2167.0000"
"ER5670"	"14K White Gold Diamond Stud Earrings 2.25 Ctw"	"These large diamond stud earrings are crafted in lustrous 14K White Gold. The center of each earring is adorned with twenty five princess cut diamonds which are carefully placed on an invisible setting. Showcase your sense of fashion and originality with these exquisite diamond earrings which weigh approximately 9.4 grams. "	"Diamond Earring"	"/e/r/er5670-1.jpg"	"1/2 Inches (13 mm)"	"1.0000"	"2.25 Ctw "	""	"White"	"14K Gold"	"Invisible"	"13500.0000"	"4500.0000"
"ER423"	"14K White Gold Diamond Stud Earrings 2.55 Ctw"	"These square diamond stud earrings are crafted in 14K White Gold and weigh approximately 3.3 grams. The center of each earring is adorned with numerous princess cut diamonds which are carefully placed on an invisible setting. Ideal for men and women, these diamond earring studs gleam with originality and exquisiteness."	"Diamond Earring"	"/e/r/er423-1.jpg"	"3/8 Inches (10.4 mm)"	"1.0000"	"2.55 Ctw "	""	"White"	"14K Gold"	"Invisible"	"4875.0000"	"1625.0000"
"ER094"	"14K White Gold Diamond Stud Earrings 0.96 Ctw"	"These square diamond stud earrings are crafted in 14K White Gold and weigh approximately 3.3 grams. The center of each earring is adorned with numerous princess cut diamonds which are carefully placed on an invisible setting. Ideal for men and women, these diamond stud earrings gleam with originality and exquisiteness."	"Diamond Earring"	"/e/r/er094-1.jpg"	"3/8 Inches (8.8 mm)"	"1.0000"	"0.96 Ctw "	""	"White"	"14K Gold"	"Invisible"	"1325.0000"	"442.0000"
"EM094WY2"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds 1.11 Ctw "	"Crafted in highly polished 14K white gold, these fashion diamond stud earrings feature brilliant white and yellow diamonds, forming a cross in the center. These SI1/SI2 stones are invisibly set in the center of each earring. For extra security, they close with a push back closure. Purchase these exclusive unisex diamond earrings for an every day casual wear. "	"Diamond Earring"	"/I/M/IMG_8708copy.jpg"	"5/16 Inches (8 mm)"	"1.0000"	"1.11 Ctw "	""	"White"	"14K Gold"	"invisible "	"2225.0000"	"749.0000"
"EM094WY3"	"14K Yellow Gold Diamond Stud Earrings with Yellow Diamonds 1.11 Ctw "	"Crafted in highly polished 14K yellow gold, these fashion diamond stud earrings feature brilliant white and yellow diamonds. These SI1/SI2 stones are invisibly set in the center of each earring. For extra security, they close with a push back closure. These exclusive unisex earring studs could be worn on daily occasions. "	"Diamond Earring"	"/I/M/IMG_8718_1.JPG"	"5/16 Inches (8 mm)"	"1.0000"	"1.11 Ctw "	""	"Yellow"	"14K Gold"	"invisible "	"2225.0000"	"749.0000"
"EM094WY4"	"14K Yellow Gold Diamond Stud Earrings with Yellow Diamonds 1.11 Ctw "	"Crafted in highly polished 14K yellow gold, these fashion diamond stud earrings feature brilliant white and yellow diamonds. These SI1/SI2 stones are invisibly set in the center of each earring, forming a yellow cross. For extra security, they close with a push back closure. These unisex earring studs are ideal for an every day casual wear. "	"Diamond Earring"	"/3/_/3_2_2.jpg"	"5/16 Inches (8 mm)"	"1.0000"	"1.11 Ctw "	""	"Yellow"	"14K Gold"	"invisible "	"2225.0000"	"749.0000"
"EM095YW2"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds 1.22 Ctw "	"Very impressive and mesmerizing in style and fashion these 14KT white gold diamond stud earrings, are adorned with countless G/H in color, SI1/SI2 in clarity princess cut diamonds, for a total carat weight of 1.41 carats of dazzling diamonds. The earrings measure out to 3/8 inches (9mm) in length and width, for total gram weight of approximately 4 grams. The earrings lock with a push back closure, for a secure and comfortable wear. These exclusive unisex earring studs are ideal for both men and women."	"Diamond Earring"	"/I/M/IMG_87020_1.jpg"	"3/8 inches (9mm) "	"1.0000"	"1.22 Ctw "	""	"White"	"14K Gold"	"Invisible"	"2825.0000"	"949.0000"
"EM095YW3"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds 1.22 Ctw "	"Very impressive and mesmerizing in style and fashion these 14KT white gold diamond stud earrings, are adorned with countless G/H in color, SI1/SI2 in clarity princess cut diamonds, for a total carat weight of 1.41 carats of dazzling diamonds. The earrings measure out to 3/8 inches (9mm) in length and width, for total gram weight of approximately 4 grams. The earrings lcok with a push back closure for a secure and comfortable wear. These unisex stud earrings are ideal for both men and women."	"Diamond Earring"	"/I/M/IMG_8734copy.jpg"	"3/8 inches (9mm) "	"1.0000"	"1.22 Ctw "	""	"White"	"14K Gold"	"Invisible"	"2825.0000"	"949.0000"
"ER021"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds  2.75 Ctw"	"These gleaming diamond stud earrings are crafted in lustrous 14K White Gold. The square center of each earring is adorned with white and yellow princess cut diamonds which are strategically placed on an invisible setting to form a checker pattern design. They safely lock with omega clasp closure for a secure and comfortable wear. These exquisite unisex diamond studs are ideal for both men and women."	"Diamond Earring"	"/I/M/IMG_8731.jpg"	"7/16 Inches (10.8 mm)"	"1.0000"	"2.75 Ctw"	""	"White"	"14K Gold"	"Invisible"	"7500.0000"	"2499.0000"
"EM096Y1"	"14K Yellow Gold Diamond Stud Earrings with Yellow Diamonds 1.65 Ctw"	"These exclusive diamond stud earrings are crafted in lustrous 14K Yellow Gold. Each earring is adorned with yellow and white princess cut diamonds which are carefully placed on an invisible setting to form four yellow squares in the center. Weighing approximately 4.4 grams, these unisex diamond earrings are ideal for an every day casual apparel. "	"Diamond Earring"	"/I/M/IMG_9049copy.jpg"	"3/8 Inches (10.3 mm)"	"1.0000"	"1.65 Ctw"	""	"Yellow"	"14K Gold"	"Invisible"	"3500.0000"	"1169.0000"
"EM096Y2"	"14K Yellow Gold Diamond Stud Earrings with Yellow Diamonds 1.65 Ctw"	"These 14K Yellow Gold diamond stud earrings weigh approximately 4 grams.  Each earring is adorned with yellow and white princess cut diamonds which are carefully placed on an invisible setting to form a unique design in the center. These diamond earrings are ideal for both men and women."	"Diamond Earring"	"/I/M/IMG_8762.jpg"	"3/8 Inches (10.3 mm)"	"1.0000"	"1.65 Ctw"	""	"Yellow"	"14K Gold"	"Invisible"	"3500.0000"	"1169.0000"
"E006YW"	"14K White Gold Diamond Stud Earrings With Yellow Diamonds 1.50 Ctw"	"These exclusive diamond stud earrings are crafted in lustrous 14K White Gold. The center of each earring is invisibly set with both yellow and white princess cut diamonds. They securely hold in place with a push back post. Ideal for both men and women, these unisex diamond earring studs gleam with originality and sophistication."	"Diamond Earring"	"/I/M/IMG_8l94.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"1.50 Ctw"	""	"White"	"14K Gold"	"Invisible"	"3375.0000"	"1125.0000"
"ER003"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds 1.25 Ctw"	"Crafted in highly polished 14K White Gold, these exquisite diamond stud earrings weigh approximately 4.4 grams. The center is adorned with princess cut yellow and white diamonds which are carefully placed to form a checker pattern design in the center. Gleaming with beauty and originality, these unisex earrings are ideal for a casual or special wear."	"Diamond Earring"	"/I/M/IMG_8746.jpg"	"3/8 Inches (9.2 mm)"	"1.0000"	"1.25 Ctw"	""	"White"	"14K Gold"	"Invisible"	"2750.0000"	"917.0000"
"EM087WY"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds 2.05 Ctw"	"These featured small diamond stud earrings are crafted in lustrous 14K White Gold. The square frame is adorned with both white and yellow princess cut diamonds which are carefully placed on an invisible setting. Gleaming with elegance and originality, these unisex diamond earrings weigh approximately 3.1 grams. "	"Diamond Earring"	"/I/M/IMG_8616_1.jpg"	"5/16 Inches (8.5 mm)"	"1.0000"	"2.05 Ctw"	""	"White"	"14K Gold"	"Invisible"	"4900.0000"	"1634.0000"
"EM088YW"	"14K White Gold Diamond Stud Earrings with Yellow Diamonds  2.63 Ctw"	"These alluring diamond stud earrings are crafted in lustrous 14K White Gold. The square center of each earring is adorned with white and yellow princess cut diamonds which are carefully placed on an invisible setting. These unisex diamond earring studs are ideal for an every day fashion wear."	"Diamond Earring"	"/I/M/IMG_8629_1.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.63 Ctw"	""	"White"	"14K Gold"	"Invisible"	"5950.0000"	"1984.0000"
"EM097W"	"14K White Gold Diamond Stud Earring with Yellow Diamonds  2.41 Ctw"	"These square diamond stud earrings are adorned with numerous small princess cut yellow and white diamonds which are carefully placed on an invisible setting. Crafted in highly polished 14K white gold, they weight approximately 6 grams. 
"	"Diamond Earring"	"/I/M/IMG_8692copy.jpg"	"1/2 Inches (12.9 mm)"	"1.0000"	"2.41 Ctw"	""	"White"	"14K Gold"	"Invisible"	"5795.0000"	"1932.0000"
"EM097WY"	"14K Yellow Gold Diamond Stud Earrings with Yellow Diamonds  2.33 Ctw"	"These alluring diamond stud earrings are crafted in highly polished 14K Yellow Gold, weighing approximately 6.1 grams. The center is adorned with brilliant white and yellow princess cut diamonds which are carefully placed on an invisible setting. Showcase your sense of fashion with these exquisite unisex diamond earring studs. "	"Diamond Earring"	"/2/_/2_3.jpg"	"1/2 Inches (13 mm)"	"1.0000"	"2.33 Ctw"	""	"Yellow"	"14K Gold"	"Invisible"	"6000.0000"	"2000.0000"
"EM097WY1"	"14K White Gold Diamond Stud Earring with Yellow Diamonds  2.33 Ctw"	"These alluring diamond stud earrings are crafted in lustrous 14K White Gold, weighing approximately 6.1 grams. The square frame is invisibly set with both white and yellow cut diamonds which are carefully placed on an invisible setting. Showcase your sense of fashion and originality with these exquisite diamond earring studs."	"Diamond Earring"	"/I/M/IMG_8669copy.jpg"	"1/2 Inches (12.7 mm)"	"1.0000"	"2.33 Ctw"	""	"White"	"14K Gold"	"Invisible"	"5000.0000"	"1669.0000"
"EM097WY2"	"14K Yellow Gold Diamond Stud Earrings with Yellow Diamonds  2.33 Ctw"	"These exclusive diamond stud earrings are crafted in lustrous 14K Yellow Gold, weighing approximately 5.6 grams. The square frame is invisibly set with both white and yellow diamonds which are carefully placed to form a criss cross design. Gleaming with elegance and beauty, these unisex diamond earring studs are ideal for a casual or special night out."	"Diamond Earring"	"/I/M/IMG_8621_1.jpg"	"1/2 Inches (12.8 mm)"	"1.0000"	"2.33 Ctw"	""	"Yellow"	"14K Gold"	"Invisible"	"5000.0000"	"1669.0000"
"MER319-1-D"	"14K White Gold Diamond Stud Earrings with Red Diamonds  2.37 Ctw"	"These one of a kind diamond stud earrings are crafted in 14K White Gold and  weigh approximately 4.3 grams. The square shape center piece of each earring is invisibly set with both white and red princess cut diamonds. The total carat weight of both earrings is 2.37 carats. Gleaming with beauty and elegance, these unisex diamond earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_433.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"2.37 Ctw"	""	"White"	"14K Gold"	"Invisible "	"4495.0000"	"1499.0000"
"MER448-2-D"	"14K White Gold Diamond Stud Earrings with Red Diamonds 3.14 Ctw"	"These exclusive diamond stud earrings are crafted in lustrous 14K White Gold. The square shape center piece of each earring is invisibly set with both white and red princess cut diamonds strategically  placed to form an elegant design.  The total carat weight of both earrings is 3.14 carats. Weighing approximately 4.9 grams these unisex diamond earring studs gleam with beauty and originality. "	"Diamond Earring"	"/f/i/file_481.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"3.14 Ctw"	""	"White"	"14K Gold"	"Invisible "	"4900.0000"	"1639.0000"
"MER436-1-D"	"14K White Gold Diamond Stud Earrings with Red Diamonds 2.24 Ctw"	"These exclusive diamond stud earrings are crafted in lustrous 14K White Gold and weigh approximately 3.5 grams. The square shape center piece of each earring is invisibly set with both white and red princess cut diamonds strategically  placed to form an elegant design.  The total carat weight of both earrings is 2.24 carats. These unisex diamond earring studs are ideal for a casual or every day wear. "	"Diamond Earring"	"/f/i/file_473.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.24 Ctw"	""	"White"	"14K Gold"	"Invisible "	"3900.0000"	"1299.0000"
"MER435-1-D"	"14K White Gold Diamond Stud Earrings with Red Diamonds  2.24 Ctw"	"These exclusive diamond stud earrings are crafted in lustrous 14K White Gold. The square shape center piece of each earring is invisibly set with both white and red princess cut diamonds strategically  placed to form an elegant design.  The total carat weight of both earrings is 2.24 carats. These exclusive diamond earring studs are ideal for a casual or special wear. "	"Diamond Earring"	"/f/i/file_471.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.24 Ctw"	""	"White"	"14K Gold"	"Invisible "	"3860.0000"	"1289.0000"
"MER329-1-E"	"14K White Gold Diamond Stud Earrings with Red Diamonds  1.82 Ctw"	"These exclusive diamond stud earrings are crafted in lustrous 14K White Gold. The square shape center piece of each earring is invisibly set with both white and red princess cut diamonds strategically  placed to form small square in the center. The total carat weight of both earrings is 1.82 carats. These diamond earring studs are ideal for both men and women for a casual or special wear.  "	"Diamond Earring"	"/f/i/file_435.jpg"	"3/8 Inches (9.3 mm)"	"1.0000"	"1.82 Ctw"	""	"White"	"14K Gold"	"Invisible "	"3265.0000"	"1089.0000"
"MER318-1-D"	"14K White Gold Diamond Stud Earrings with Red Diamonds  2.38 Ctw"	"These featured diamond stud earrings are crafted in 14K White Gold and weigh approximately 3.9 grams, The square shape center of each earring is invisibly set with both red and white princess cut diamonds. Ideal for both men and women, these diamond earring studs carry a total of 2.38 carats and gleam with beauty and exquisiteness. "	"Diamond Earring"	"/f/i/file_431.jpg"	"5/16 Inches (8.5 mm)"	"1.0000"	"2.38 Ctw "	""	"White"	"14K Gold"	"Invisible "	"4560.0000"	"1524.0000"
"MER400-1"	"14K White Gold Diamond Stud Earrings with Red Diamonds  2.15 Ctw"	"These square diamond stud earrings are crafted in highly polished 14K White Gold. The center is pave set with small round cut white and red diamonds which total to 2.15 carats. Ideal for both men and women, these diamond earring studs gleam with beauty and originality. "	"Diamond Earring"	"/f/i/file_445.jpg"	"9/16 Inches (14.5 mm)"	"1.0000"	"2.15 Ctw"	""	"White"	"14K Gold"	"Pave"	"3840.0000"	"1289.0000"
"MER423-2"	"14K White Gold Diamond Stud Earrings with Red and Yellow Diamonds 1.65 Ctw"	"Crafted in lustrous 14K White Gold, these diamond stud earrings weigh approximately 3.3 grams. The center is invisibly set with red and yellow princess cut diamonds. These exclusive unisex diamond earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_455.jpg"	"3/8 Inches (9 mm)"	"1.0000"	"1.65 Ctw"	""	"White"	"14K Gold"	"Invisible "	"2940.0000"	"979.0000"
"MER510-1"	"14K White Gold Diamond Stud Earrings with Red and Yellow Diamonds 2.49 Ctw"	"These uniquely designed square diamond stud earrings are crafted in lustrous 14K White Gold and carry a total of 2.49 carats of brilliant diamonds.  The center is invisibly set with yellow princess cut diamonds and surrounded with red princess cut diamonds. Weighing approximately 5 grams, these unisex diamond earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_501.jpg"	"7/16 Inches (11.7 mm)"	"1.0000"	"2.49 Ctw"	""	"White"	"14K Gold"	"Invisible, Channel "	"4010.0000"	"1339.0000"
"MER424-1"	"14K White Gold Diamond Stud Earrings with Red and Yellow Diamonds 1.64 Ctw"	"These exclusive diamond stud earrings weigh approximately 3.2 grams and are crafted in lustrous 14K White Gold.  The center is adorned with yellow and red princess cut diamonds held by an invisible setting. These simple yet elegant unisex earring studs are ideal for an every day casual wear. "	"Diamond Earring"	"/f/i/file_457.jpg"	"3/8 Inches (9 mm)"	"1.0000"	"1.64 Ctw"	""	"White"	"14K Gold"	"Invisible"	"2930.0000"	"979.0000"
"MER423-1"	"14K White Gold Diamond Stud Earrings with Red and Yellow Diamonds 1.65 Ctw"	"These 14K White Gold diamond stud earrings weigh approximately 3.2 grams. The center is adorned with yellow and red princess cut diamonds held by an invisible setting. These unisex earring studs carry a total of 1.65 carats of brilliant diamonds."	"Diamond Earring"	"/f/i/file_453.jpg"	"3/8 Inches (9 mm)"	"1.0000"	"1.65 Ctw"	""	"White"	"14K Gold"	"Invisible"	"2940.0000"	"979.0000"
"MER424-2"	"14K White Gold Diamond Stud Earrings with Red and Yellow Diamonds 1.64 Ctw"	"These exquisite 14K White Gold Diamond Stud Earrings weigh approximately 3.2 grams. The center is adorned with yellow and red princess cut diamonds held by an invisible setting. Ideal for both men and women, these unisex earring studs carry a total of 1.64 carats of brilliant diamonds. "	"Diamond Earring"	"/f/i/file_676_3.jpg"	"3/8 Inches (9 mm)"	"1.0000"	"1.64 Ctw"	""	"White"	"14K Gold"	"Invisible"	"2931.0000"	"974.0000"
"MER298-1-D"	"14K White Gold Diamond Stud Earrings with Red Diamonds 1.24 Ctw"	"Crafted in lustrous 14K White Gold, these one of a kind diamond stud earrings weigh approximately 2.5 grams. The center is adorned with white and red princess cut diamonds held by an invisible setting. these unisex diamond earring studs make it an ideal diamond accessory for a special or casual night out. "	"Diamond Earring"	"/f/i/file_427.jpg"	"3/8 Inches (9 mm)"	"1.0000"	"1.24 Ctw"	""	"White"	"14K Gold"	"Invisible"	"2535.0000"	"849.0000"
"MER450-1"	"14K White Gold Diamond Stud Earrings with Yellow and Red Diamonds 1.65 Ctw"	"These exclusive diamond stud earrings weigh approximately 3.2 grams and are crafted in highly polished 14K White Gold. The center is adorned with yellow and red princess cut diamonds held by an invisible setting. Ideal for both men and women, these diamond earring studs gleam with simplicity and uniqueness. "	"Diamond Earring"	"/f/i/file_483.jpg"	"3/8 Inches (9 mm)"	"1.0000"	"1.65 Ctw"	""	"White"	"14K Gold"	"Invisible"	"2960.0000"	"989.0000"
"MER437-1"	"14K White Gold Diamond Stud Earrings with Yellow and Red Diamonds 3.02 Ctw"	"These exquisite diamond stud earrings are crafted in highly polished 14K White Gold. The center is adorned with yellow and red princess cut diamonds held by an invisible setting. They are strategically placed to form a yellow cross in the center of each stud.  Ideal for both men and women, these unisex stud earrings gleam with simplicity and uniqueness. "	"Diamond Earring"	"/f/i/file_475.jpg"	"3/8 Inches (10.4 mm)"	"1.0000"	"3.02 Ctw"	""	"White"	"14K Gold"	"Invisible"	"4595.0000"	"1534.0000"
"MER440-1"	"14K White Gold Diamond Stud Earrings with Blue and Yellow Diamonds 2.80 Ctw"	"These uniquely designed diamond stud earringsare crafted in lustrous 14K White Gold.  The center of each earring is invisibly set with blue and yellow princess cut diamonds. Weighing approximately 4.3 grams, these unisex earring studs gleam with beauty and sophistication. "	"Diamond Earring"	"/f/i/file_477.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"2.80 Ctw"	""	"White"	"14K Gold"	"Invisible "	"4385.0000"	"1469.0000"
"MER430-1"	"14K White Gold Diamond Stud Earrings with Blue and Yellow Diamonds 2.32 Ctw"	"These exclusive unisex diamond stud earrings weigh approximately 6.3 grams. The center is invisibly set with blue and yellow princess cut diamonds. These high quality diamond earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_467.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.32 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3905.0000"	"1304.0000"
"MER428-1"	"14K White Gold UnDiamond Stud Earrings with Blue and Yellow Diamonds 2.82 Ctw"	"Crafted in 14K White Gold these diamond stud earrings  weigh approximately 4.3 grams. The center is invisibly set with blue and yellow princess cut diamonds. Ideal for both men and women, these diamond earring studs carry a total of 2.82 carats of brilliant diamonds. "	"Diamond Earring"	"/f/i/file_465.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.82 Ctw "	""	"White"	"14K Gold"	"Invisible"	"4395.0000"	"1464.0000"
"MER425-2"	"14K White Gold Diamond Stud Earrings with Yellow and Blue Diamonds 2.20 Ctw"	"These 14K White Gold diamond stud earrings weigh approximately 3.5 grams. The center is invisibly set with blue and yellow princess cut diamonds. Ideal for both men and women, these diamond earring studs are perfect for an every day casual or special wear. "	"Diamond Earring"	"/f/i/file_460.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.20 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3390.0000"	"1129.0000"
"MER426-1"	"14K White Gold Diamond Stud Earrings with Blue and Yellow Diamonds  2.21 Ctw"	"Crafted in lustrous 14K White Gold, these diamond stud earrings weigh approximately 3.3 grams. The center is invisibly set with blue and yellow princess cut diamonds. These unisex earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_461.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.21 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3385.0000"	"1129.0000"
"MER204-2"	"14K White Gold Diamond Stud Earrings with Yellow and Blue Diamonds 1.65 Ctw"	"These one of a kind diamond stud earrings are crafted in highly polished 14K White Gold and weigh approximately 2.3 grams. The center is invisibly set with blue and yellow princess cut diamonds. Carrying a total of 1.65 carats, these unisex earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_419.jpg"	"5/16 Inches (8.5 mm)"	"1.0000"	"1.65 Ctw "	""	"White"	"14K Gold"	"Invisible"	"2400.0000"	"799.0000"
"MER430-2"	"14K White Gold Diamond Stud Earrings with Blue and Yellow Diamonds 2.32 Ctw"	"These 14K White Gold diamond stud earrings carry a total of 2.32 carats. The center is invisibly set with blue and yellow princess cut diamonds. Weighing approximately 3.2 grams, these unisex earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_469.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.32 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3555.0000"	"1184.0000"
"MER427-1"	"14K White Gold Diamond Stud Earrings with Blue and Yellow Diamonds 2.21 Ctw"	"These one of a kind diamond stud earrings are crafted in highly polished 14K White Gold which weigh approximately 3.3 grams. The center is invisibly set with blue and yellow princess cut diamonds. Carrying a total of 2.21 carats of diamonds, these unisex diamond earring studs gleam with beauty and uniqueness. "	"Diamond Earring"	"/f/i/file_463.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.21 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3400.0000"	"1139.0000"
"MER309-1"	"14K White Gold Diamond Stud Earrings with Blue and Yellow Diamonds  2.00 Ctw"	"These one of a kind diamond stud earrings are crafted in highly polished 14K White Gold and weigh approximately 3.3 grams. The center is invisibly set with blue and yellow princess cut diamonds. Ideal for both men and women, these unisex diamond earring studs make it an ideal accessory for an every day casual wear. "	"Diamond Earring"	"/f/i/file_429.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"2.00 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3180.0000"	"1064.0000"
"MER205-2"	"14K White Gold Diamond Stud Earrings with Green and Yellow Diamonds 1.61 Ctw"	"These one of a kind diamond rstud earrings are crafted in lustrous 14K White Gold and weigh approximately 2.3 grams. The center is invisibly set with green and yellow princess cut diamonds. Carrying a total of 1.61 carats, these exquisite unisex diamond earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_676_2.jpg"	"5/16 Inches (8 mm)"	"1.0000"	"1.61 Ctw "	""	"White"	"14K Gold"	"Invisible"	"2360.0000"	"789.0000"
"MER278-1"	"14K White Gold Diamond Stud Earrings with Yellow and Green Diamonds 1.61 Ctw"	"Crafted in highly polished 14K White Gold, these exclusive diamond stud earrings weigh approximately 2.2 grams. The center is invisibly set with green and yellow princess cut diamonds. These diamond earring studs are ideal for both men and women. "	"Diamond Earring"	"/f/i/file_425.jpg"	"5/16 Inches (8 mm)"	"1.0000"	"1.61 Ctw "	""	"White"	"14K Gold"	"Invisible"	"2470.0000"	"824.0000"
"MER479-1-D"	"14K White Gold Diamond Stud Earrings with Black Diamonds 3.22 Ctw"	"These exclusive 14K White Gold diamond stud earrings weigh approximately 2.2 grams. The center is invisibly set with black and white princess cut diamonds. Ideal for an every day casual wear, these unisex diamond earring studs carry a total diamond weight of 3.22 carats. "	"Diamond Earring"	"/f/i/file_497.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"3.22 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3385.0000"	"1129.0000"
"MER405-1-D"	"14K White Gold Diamond Stud Earrings with Black Diamonds 6.18 Ctw"	"These 14K White Gold Diamond Stud Earrings weigh approximately 6.3 grams. The center is invisibly set with black and white princess cut diamonds. Carrying a total diamond weigh of 6.18 carats, these unisex diamond earring studs make it an ideal accessory for an every day wear. "	"Diamond Earring"	"/f/i/file_447.jpg"	"5/8 Inches (15 mm)"	"1.0000"	"6.18 Ctw "	""	"White"	"14K Gold"	"Invisible"	"7825.0000"	"2609.0000"
"MER477-1-D"	"14K White Gold Diamond Stud Earrings with Black Diamonds 3.19 Ctw"	"Crafted in highly polished 14k White Gold, these diamond stud earrings weigh approximately 4.3 grams. The center is invisibly set with black and white princess cut diamonds. Carrying a total of 3.19 carats, these unisex diamond studs are ideal for a special or casual every day wear. "	"Diamond Earring"	"/f/i/file_495.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"3.19 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3720.0000"	"1249.0000"
"MER474-1-D"	"14K White Gold Diamond Stud Earrings with Black Diamonds 3.29 Ctw"	"These 14K White Gold diamond stud earrings weigh approximately 4.5 grams. The center is invisibly set with black and white princess cut diamonds and they total to 3.29 carats. These unisex earring studs are ideal for a special or casual every day wear. "	"Diamond Earring"	"/f/i/file_491.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"3.29 Ctw "	""	"White"	"14K Gold"	"Invisible"	"6010.0000"	"1999.0000"
"MER375-2-D"	"14K White Gold Diamond Stud Earrings with Black Diamonds 3.38 Ctw"	"These 14K white gold diamond stud earrings weigh approximately 4.2 grams. The center is invisibly set with black and white princess cut diamonds. Ideal for an every day wear, these unisex diamond earring studs carry a total of 3.38 carats. "	"Diamond Earring"	"/f/i/file_443.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"3.38 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3280.0000"	"999.0000"
"MER479-2-D"	"14K White Gold Diamond Stud Earrings with Black Diamonds 3.22 Ctw"	"These one of a kind diamond stud earrings are crafted in highly polished 14K White Gold which weighs approximately 4.2 grams. The center is invisibly set with black and white princess cut diamonds. These unisex diamond earring studs carry a total of 3.22 carats and shine with beauty and uniqueness. "	"Diamond Earring"	"/f/i/file_499.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"3.22 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3385.0000"	"1129.0000"
"MER475-2-D"	"14K White Gold Diamond Stud Earrings with Black Diamonds 3.29 Ctw"	"These one of a kind diamond stud earrings are crafted in highly polished 14K White Gold and weigh approximately 4.2 grams. The center is invisibly set with black and white princess cut diamonds. These unisex diamond earring studs are ideal for an every day casual wear. "	"Diamond Earring"	"/f/i/file_493.jpg"	"7/16 Inches (11 mm)"	"1.0000"	"3.29 Ctw "	""	"White"	"14K Gold"	"Invisible"	"3440.0000"	"1149.0000"
"MER410-2-D"	"14K White Gold Diamond Stud Earrings with Black Diamonds 1.59  Ctw"	"Crafted in 14K white gold, these diamond stud earrings weigh approximately 3.3 grams. The center is invisibly set with black and white princess cut diamonds. These diamond earring studs carry a total of 1.59 carats and are ideal for a special or casual wear. "	"Diamond Earring"	"/f/i/file_447_1.jpg"	"3/8 Inches (10 mm)"	"1.0000"	"1.59 Ctw "	""	"White"	"14K Gold"	"Invisible"	"2985.0000"	"994.0000"
