sku,title,price,quantity,image1,image2,ring_size,weight,width,length,metal_type,metal_color,gemstone_type,gemstone_color,gemstone_weight,gemstone_shape,diamond_color,diamond_clarity,diamond_carat_weight,diamond_shape,center_diamond_weight,center_diamond_clarity,center_diamond_color,center_diamond_cut,description,category
S17577AM,"Solitaire Princess Cut Amethyst and Diamond Gemstone Ring in White Gold",296,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/1/s17577ama.jpg,http://www.povada.com/media/catalog/product/s/1/s17577amb.jpg,"7 (Resizable between size 6-8)","6.4 grams","0.66 inches",,"14K Gold",White,"Purple Amethyst",Purple,2.93ct,Princess,H/I,I1/I2,0.07ct,Round,,,,,"This 14k white gold ring features a lovely checkerboard purple amethyst gemstone surrounded by brilliant diamonds. The diamond color is H/I and I1/I2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
S15632G,"Solitaire Marquise Cut Green Amethyst and Diamond Large Gemstone Ring in White Gold",791,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/1/s15632ga.jpg,http://www.povada.com/media/catalog/product/s/1/s15632gb.jpg,"7 (Resizable between size 6-8)","5.8 grams","0.83 inches",,"14K Gold",White,"Green Amethyst",Green,3.85ct,Marquise,G/H,SI1/SI2,0.65ct,Round,,,,,"This fine ring features a beautiful large designer marquise cut green amethyst gemstone surrounded by bright brilliant diamonds. The diamond color is G/H and SI1/SI2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
R3302PN,"Solitaire Emerald Cut Pink Tourmaline and Diamond Large Gemstone Ring in White Gold",3398,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/3/r3302pna.jpg,http://www.povada.com/media/catalog/product/r/3/r3302pnb.jpg,"7 (Resizable between size 6-8)","13.4 grams","0.66 inches",,"18K Gold",White,"Pink Tourmaline",Pink,5.43ct,Emerald,G/H,SI1/SI2,1.56ct,Round,,,,,"A beautiful 5.43ct pink tourmaline gemstone sits atop of fine brilliant diamonds as they cascade down the sides of the ring. The diamonds color is G/H and SI1/SI2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
R5120P,"Solitaire Emerald Cut Pink Amethyst and Diamond Large Gemstone Ring in Yellow Gold",1235,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/5/r5120pa.jpg,http://www.povada.com/media/catalog/product/r/5/r5120pb.jpg,"7 (Resizable between size 6-8)","9.7 grams","0.78 inches",,"14K Gold",Yellow,"Pink Amethyst",Pink,6.96ct,Emerald,G/H,SI3/I1,0.68ct,Round,,,,,"This fine ring features two rows of diamonds surrounding a emerald shape pink amethyst gemstone. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
R4839C,"Citrine and Diamond Large Gemstone Ring in Yellow Gold",1220,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/4/r4839ca.jpg,http://www.povada.com/media/catalog/product/r/4/r4839cb.jpg,"7 (Resizable between size 6-8)","12.4 grams","0.86 inches",,"14K Gold",Yellow,Citrine,Orange,15.90ct,"Oval Checkerboard",G/H,SI3/I1,0.36ct,Round,,,,,"This amazing design features a lovely frame with a large and noticeable oval shaped checkerboard citrine gemstone sitting high surrounded by 2 rows of brilliant diamonds. The diamonds color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
RSC8233,"Blue Topaz and Diamond Large Gemstone Ring in Two Tone Gold",1306,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc8233a.jpg,http://www.povada.com/media/catalog/product/r/s/rsc8233b.jpg,,"23.6 grams","1.1 inches",,"14K Gold ","Two Tone","Blue Topaz",Blue,12.09ct,Marquise,G/H,SI3/I1,0.23ct,Round,,,,,"This unique 14k two tone ring features a large designer marquise checkerboard blue topaz gemstone in the center surrounded by 1 row of prong set diamonds. The ring also features a horse shoe design encrusted with brilliant diamonds. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
S15632L,"Solitaire Marquise Cut Lemon Quartz and Diamond Gemstone Ring in White Gold",799,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/1/s15632la.jpg,http://www.povada.com/media/catalog/product/s/1/s15632lb.jpg,"7 (Resizable between size 6-8)","6.1 grams","0.84 inches",,"14K Gold",White,"Lemon Quartz",Yellow,3.75ct,Marquise,G/H,SI2/SI3,0.65ct,Round,,,,,"An amazing designer marquise cut lemon quartz gemstone sits in the center of the ring with cascading brilliant diamonds all around. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Quartz  Rings"
SR22742,"Solitaire Round Cut Lemon Quartz Citrine Diamond Large Gemstone Ring in White Gold",549,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/r/sr22742a.jpg,http://www.povada.com/media/catalog/product/s/r/sr22742b.jpg,"7 (Resizable between size 6-8)","9.4 grams","0.85 inches",,"14K Gold",White,"Lemon Quartz",Yellow,12.48ct,Round,H/I,I1/I2,0.18ct,Round,,,,,"This amazing design features a large and noticeable designer round cut lemon quartz gemstone sitting high in a 4 prong setting. The ring also features 1 row of brilliant diamonds and 1 row of citrine surrounding the large gemstone. The diamond color is H/I and I1/I2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Large Gemstone Rings"
MB1924TZ,"Tanzanite Diamond Unique Gemstone Ring in Yellow Gold",441,3,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb1924tza.jpg,http://www.povada.com/media/catalog/product/m/b/mb1924tzb.jpg,"8.5 (Resizable between size 7.5-9.5)","6.4 grams","0.74 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.90ct,Princess,G/H,SI3/I1,0.11ct,Round,,,,,"This classy 14k yellow gold unique gemstone ring features 6 beautiful tanzanite gemstones in a invisible setting with a larger brilliant diamond sitting at the edge of the ring. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
J374B,"Solitaire Trilliant Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",343,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/3/j374ba.jpg,http://www.povada.com/media/catalog/product/j/3/j374bb.jpg,"6.5 (Resizable between size 5.5-7.5)","4.6 grams","0.67 inches",,"18K Gold",Yellow,Tanzanite,Blue,0.20ct,Trilliant,H/I,I1/I2,035ct,Baguette,,,,,"This classic design features a lovely 0.20ct trilliant shape tanzanite gemstone in a 18k yellow gold 3 prong setting. The baguette diamonds are H/I color and I1/I2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2995,"Solitaire Marquise Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",407,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2995a.jpg,http://www.povada.com/media/catalog/product/m/b/mb2995b.jpg,"5 (Resizable between size 5 (Resizable between size 4-6)4-6)","3.2 grams","0.47 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.50ct,Marquise,G/H,I1/I2,0.25ct,Baguette,,,,,"A pretty marquise shape tanzanite sits in a 2 prong setting with beautiful baguette diamonds on each side of the stone. The diamond color is G/H and I1/I2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB1647T,"Solitaire Oval Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",840,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb1647ta.jpg,http://www.povada.com/media/catalog/product/m/b/mb1647tb.jpg,"6 (Resizable between size 5-7)","3.6 grams","0.49 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.80ct,Oval,G/H,SI3/I1,0.25ct,Baguette,,,,,"A pretty oval shape tanzanite sits in a 4 prong setting with beautiful baguette diamonds on each side of the stone. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
R4720TN,"Solitaire Trilliant Cut Tanzanite Diamond Gemstone Ring in White Gold",970,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/4/r4720tna.jpg,http://www.povada.com/media/catalog/product/r/4/r4720tnb.jpg,"7 (Resizable between size 6-8)","5.0 grams","0.4 inches",,"18K Gold",White,Tanzanite,Blue,0.48ct,Trilliant,G/H,SI2/SI3,0.65ct,Baguette,,,,,"This 18k white gold ring is a great addition to any jewelry collection with its beautiful trilliant shape tanzanite gemstone. The center stone is surrounded with fine baguette and round cut diamonds. The color of the diamonds is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
R4699TZ,"Tanzanite Diamond Gemstone Ring in White Gold",451,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/4/r4699tza.jpg,http://www.povada.com/media/catalog/product/r/4/r4699tzb.jpg,"7 (Resizable between size 6-8)","3.8 grams","0.5 inches",,"18K Gold",White,Tanzanite,Blue,0.92ct,Oval,G/H,SI3/I1,0.06ct,"Baguette,Round",,,,,"This contemporary ring features a beautiful oval shape tanzanite gemstone with round and baguette diamonds surrounding it. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
RSC6609F,"Trilliant Tanzanite Diamond Unique Gemstone Ring in White Gold",448,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/s/rsc6609fa.jpg,http://www.povada.com/media/catalog/product/r/s/rsc6609fb.jpg,"7 (Resizable between size 6-8)","3.2 grams","0.51 inches",,"14K Gold",White,Tanzanite,Blue,0.54ct,Trilliant,G/H,SI3/I1,0.26ct,Round,,,,,"This amazingly unique gemstone ring features 2 trilliant shape tanzanite gemstones surrounded by beautiful brilliant diamonds in this 14k white gold setting. The diamond color is G/H and SI3/I1Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
J624,"Tanzanite Diamond Unique Gemstone Ring in Yellow Gold",647,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/6/j624a.jpg,http://www.povada.com/media/catalog/product/j/6/j624b.jpg,"6.5 (Resizable between size 5.5-7.5)","8.7 grams","0.75 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.72ct,Pear,H/I,SI3/I1,0.40ct,Baguette,,,,,"The unique gemstone ring features a lovely pear shape tanzanite gemstone sitting above 5 rows of baguette diamonds in a channel setting. The diamond color is H/I and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
MB2315T,"Oval Cut Tanzanite Three Stone Gemstone Ring in Yellow Gold",980,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2315ta.jpg,http://www.povada.com/media/catalog/product/m/b/mb2315tb.jpg,"7 (Resizable between size 6-8)","4.2 grams","0.54 inches",,"14K Gold",Yellow,Tanzanite,Blue,2.00ct,Oval,,,,,,,,,"Show the one you love how much you care with this beautiful ring. This design features 3 lovely oval shape tanzanite gemstones in a 14k yellow gold setting.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
J664,"Solitaire Oval Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",757,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/6/j664a.jpg,http://www.povada.com/media/catalog/product/j/6/j664b.jpg,"6 (Resizable between size 5-7)","5.4 grams","0.65 inches",,"14K Gold",Yellow,Tanzanite,Blue,1.12ct,Oval,G/H,SI3/I1,0.35ct,Baguette,,,,,"This 14k yellow gold design features a lovely oval shape tanzanite gemstone with 1 row of baguette diamonds on each side of the stone. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2465T,"Tanzanite Diamond Gemstone Ring in Yellow Gold",1323,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2465ta.jpg,http://www.povada.com/media/catalog/product/m/b/mb2465tb.jpg,"6.5 (Resizable between size 5.5-7.5)","3.6 grams","0.55 inches",,"14K Gold",Yellow,Tanzanite,Blue,1.25ct,Oval,G/H,SI2/SI3,0.40ct,Princess,,,,,"This simple ring will make great for any occasion with its beautiful oval shape tanzanite gemstone sitting in the center and two princess cut diamonds on both sides. The diamond color is G/H and the clarity is SI2/SI3Different ring sizes may be available. Please inquire for details.","Engagement > Gemstone Engagement Rings"
R5198TZ,"Solitaire Oval Cut Tanzanite Diamond Gemstone Ring in White Gold",1191,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/5/r5198tza.jpg,http://www.povada.com/media/catalog/product/r/5/r5198tzb.jpg,"7 (Resizable between size 6-8)","4.0 grams","0.5 inches",,"18K Gold",White,Tanzanite,Blue,1.69ct,Oval,G/H,SI1/SI2,0.27ct,"Round, Princess",,,,,"Dare to be glamorous with this stunning ring! A genuine tanzanite gemstone sits in the center surrounded by sparkling princess and round cut diamonds in this handcrafted 18k white gold setting.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
J341TZ,"Solitaire Oval Cut Tanzanite Diamond Gemstone Ring in White Gold",772,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/3/j341tza.jpg,http://www.povada.com/media/catalog/product/j/3/j341tzb.jpg,"7 (Resizable between size 6-8)","8.0 grams","0.57 inches",,"14K Gold",White,Tanzanite,Blue,0.75ct,Oval,G/H,SI3/I1,0.50ct,Baguette,,,,,"This 14k white gold ring features a lovely 0.75ct oval shape tanzanite in a bezel setting embraced by 1 row of baguette diamonds in a channel setting. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
J631T,"Tanzanite Diamond Unique Gemstone Ring in Yellow Gold",637,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/6/j631ta.jpg,http://www.povada.com/media/catalog/product/j/6/j631tb.jpg,"6.5 (Resizable between size 5.5-7.5)","4.5 grams","0.49 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.90ct,Trilliant,G/H,SI3/I1,0.25ct,Baguette,,,,,"This unique 14k yellow gold ring features a beautiful trilliant shaped tanzanite gemstone with a row of baguette cut diamonds following it. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
J642,"Solitaire Pear Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",561,3,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/6/j642a.jpg,http://www.povada.com/media/catalog/product/j/6/j642b.jpg,"7 (Resizable between size 6-8)","4.5 grams","0.42 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.65ct,Pear,G/H,SI2/SI3,0.35ct,Baguette,,,,,"This unique design features a 0.65ct pear shape tanzanite gemstone surrounded by baguette diamonds in a channel setting. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB1098T2,"Solitaire Round Cut Tanzanite Diamond Gemstone Ring in Two Tone Gold",1659,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb1098t2a.jpg,http://www.povada.com/media/catalog/product/m/b/mb1098t2b.jpg,"6.5 (Resizable between size 5.5-7.5)","6.5 grams","0.58 inches",,"14K Gold","Two Tone",Tanzanite,Blue,1.68ct,Round,G/H,SI2/SI3,0.45ct,Princess,,,,,"A beautiful 1.68ct round shape tanzanite sits in a 4 prong setting with princess cut diamonds on each side in this 14k yellow gold setting. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Engagement > Gemstone Engagement Rings"
GR0978T,"Solitaire Oval Cut Tanzanite Diamond Gemstone Ring in White Gold",708,3,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/gr0978ta.jpg,http://www.povada.com/media/catalog/product/g/r/gr0978tb.jpg,"7 (Resizable between size 6-8)","6.2 grams","0.79 inches",,"18K Gold",White,Tanzanite,Blue,0.70ct,Oval,G/H,SI1/SI2,0.64ct,Round,,,,,"A beautiful design matched with an eye catching center stone will make this ring perfect for all occasions. This ring features an oval shaped tanzanite gemstone smothered in brilliant diamonds in this 18k white gold setting. The diamond color is G/H and SI1/SI2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
J615,"Solitaire Trilliant Cut Tanzanite Diamond Gemstone Ring in White Gold",735,4,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/6/j615a.jpg,http://www.povada.com/media/catalog/product/j/6/j615b.jpg,"7 (Resizable between size 6-8)","5.5 grams","0.75 inches",,"14K Gold",White,Tanzanite,Blue,0.85ct,Trilliant,G/H,SI2/SI3,0.45ct,Baguette,,,,,"This beautiful 14k white gold ring features a lovely design with 2 sets of baguettes in a channel setting on each side escalating to a amazing trilliant shape tanzanite center stone. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2375,"Solitaire Emerald Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",713,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2375a.jpg,http://www.povada.com/media/catalog/product/m/b/mb2375b.jpg,"6.5 (Resizable between size 5.5-7.5)","4.1 grams","0.65 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.76ct,Emerald,G/H,SI1/SI2,0.55ct,Round,,,,,"This simple ring will make great for any occasion with its beautiful emerald shape baguette tanzanite gemstone sitting in a 4 prong setting. The ring also features a lovely diamond pattern on all sides of the gemstone. The diamond color is G/H and SI1/SI2 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2381,"Solitaire Marquise Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",316,4,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2381a.jpg,http://www.povada.com/media/catalog/product/m/b/mb2381b.jpg,"6.5 (Resizable between size 5.5-7.5)","6.9 grams","0.82 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.35ct,Marquise,G/H,SI2/SI3,0.25ct,Round,,,,,"This elegant 14k yellow gold ring features a marquise tanzanite gemstone in the center surrounded by 1 row of brilliant diamonds. The diamond color is G/H and SI2/SI3.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2326,"Oval Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",708,2,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2326a.jpg,http://www.povada.com/media/catalog/product/m/b/mb2326b.jpg,"7 (Resizable between size 6-8)","4.5 grams","0.68 inches",,"14K Gold",Yellow,Tanzanite,Blue,1.15ct,Oval,G/H,SI3/I1,0.20ct,Round,,,,,"This simple ring will make great for any occasion with its beautiful oval shape tanzanite gemstone sitting in the center with brilliant diamonds surrounding it. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2599T,"Tanzanite Diamond Gemstone Ring in Yellow Gold",1063,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2599ta.jpg,http://www.povada.com/media/catalog/product/m/b/mb2599tb.jpg,"6.5 (Resizable between size 5.5-7.5)","5.8 grams","0.74 inches",,"18K Gold",Yellow,Tanzanite,Blue,0.77ct,Princess,G/H,SI2/SI3,0.80ct,Baguette,,,,,"This unique band features baguette diamonds and princess cut tanzanite gemstones in a 18k yellow gold frame. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2305,"Solitaire Trilliant Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",693,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2305a.jpg,http://www.povada.com/media/catalog/product/m/b/mb2305b.jpg,"7 (Resizable between size 6-8)","5.0 grams","0.61 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.89ct,Trilliant,G/H,SI2/SI3,0.35ct,Round,,,,,"A beautiful 0.89ct trilliant shape tanzanite gemstone sits in the center surrounded by bright brilliant diamonds in this 14k yellow gold setting. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2517S,"Sapphire and Diamond Unique Gemstone Ring in Yellow Gold",730,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2517sa.jpg,http://www.povada.com/media/catalog/product/m/b/mb2517sb.jpg,"7 (Resizable between size 6-8)","8.5 grams","0.88 inches",,"14K Gold",Yellow,Sapphire,Blue,0.51ct,Princess,G/H,SI2/SI3,0.51ct,"Round,Baguette",,,,,"This lovely and amazing unique gemstone ring features 3 princess cut sapphire gemstones surrounded by beautiful baguette and brilliant diamonds. The diamond color is G/H and SI2/SI3Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
R8147T,"Solitaire Trilliant Cut Tanzanite Diamond Gemstone Ring in White Gold",426,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/8/r8147ta.jpg,http://www.povada.com/media/catalog/product/r/8/r8147tb.jpg,"7 (Resizable between size 6-8)","2.9 grams","0.4 inches",,"14K Gold",White,Tanzanite,Blue,0.55ct,Trilliant,G/H,SI3/I1,0.14ct,Round,,,,,"A beautiful shining trilliant shape tanzanite gemstone sits in the center surrounded by 1 row of brilliant diamonds in this 14k white gold setting. The diamond color is G/H and SI3/I1 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB1226,"Solitaire Round Cut Tanzanite Diamond Gemstone Ring in White Gold",1379,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb1226a.jpg,http://www.povada.com/media/catalog/product/m/b/mb1226b.jpg,"10.5 (Resizable between size 9.5-11.5)","13.7 grams","0.77 inches",,"14K Gold",White,Tanzanite,Blue,0.58ct,Round,G/H,SI2/SI3,0.42ct,"Baguette,Round",,,,,"This amazing design features large brilliant and baguette diamonds surrounding a lovely round tanzanite center stone. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB1047TN,"Marquise Cut Tanzanite Diamond Unique Gemstone Ring in White Gold",468,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb1047tna.jpg,http://www.povada.com/media/catalog/product/m/b/mb1047tnb.jpg,"7 (Resizable between size 6-8)","2.8 grams","0.64 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.56ct,Marquise,H/I,SI2/SI3,0.55ct,Marquise,,,,,"This beautiful 14k yellow gold unique gemstone ring features 2 different type of marquise stones individually set. The diamond color is H/I and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Unique Gemstone Rings"
J643TN,"Tanzanite Diamond Gemstone Ring in Yellow Gold",441,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/j/6/j643tna.jpg,http://www.povada.com/media/catalog/product/j/6/j643tnb.jpg,"7 (Resizable between size 6-8)","4.1 grams","0.44 inches",,"14K Gold",Yellow,Tanzanite,Blue,0.65ct,Pear,G/H,SI2/SI3,0.20ct,Baguette,,,,,"This designer ring features a lovely 0.65ct pear shape tanzanite gemstone with 1 row of baguette diamonds in a 14k yellow gold setting. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
MB2379,"Solitaire Oval Cut Tanzanite Diamond Gemstone Ring in Yellow Gold",784,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/b/mb2379a.jpg,http://www.povada.com/media/catalog/product/m/b/mb2379b.jpg,"5.5 (Resizable between size 4.5-6.5)","5.6 grams","0.51 inches",,"14K Gold",Yellow,Tanzanite,Blue,1.37ct,Oval,G/H,SI2/SI3,0.10ct,Round,,,,,"This classic design features a large oval shape tanzanite gemstone with 6 brilliant diamonds surrounding it. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
GR1943T,"Tanzanite and Diamond Gemstone Ring in White Gold",505,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/gr1943ta.jpg,http://www.povada.com/media/catalog/product/g/r/gr1943tb.jpg,"6.5 (Resizable between size 5.5-7.5)","2.9 grams","0.36 inches",,"18K Gold",White,Tanzanite,Blue,0.45ct,Oval,G/H,SI1/SI2,0.27ct,Round,,,,,"This simple ring will make great for any occasion with its beautiful oval shape tanzanite gemstone sitting in the center with brilliant diamonds surrounding it. The diamond color is G/H and SI1/SI2 clarity.Different ring sizes may be available. Please inquire for details.","Engagement > Gemstone Engagement Rings"
GR1115TN,"Solitaire Oval Cut Tanzanite and Diamond Gemstone Ring in White Gold",708,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/r/gr1115tna.jpg,http://www.povada.com/media/catalog/product/g/r/gr1115tnb.jpg,"7 (Resizable between size 6-8)","4.8 grams","0.68 inches",,"18K Gold",White,Tanzanite,Blue,1.85ct,Oval,G/H,SI2/SI3,0.16ct,Round,,,,,"This classy 18k white gold ring features a beautiful 1.85ct tanzanite gemstone in a 4 prong setting. The gemstone is surrounded with brilliant diamonds. The diamond color is G/H and SI2/SI3 clarity.Different ring sizes may be available. Please inquire for details.","Gemstone Rings > Tanzanite Rings"
R14225S,"Sapphire and Diamond Gemstone Ring in Yellow Gold",938,1,http://www.povada.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/1/r14225sa.jpg,,"7 (Resizable between size 6-8)","5.4 grams","0.85 inches",,"14K Gold",Yellow,Sapphire,Blue,0.71ct,Round,G/H,SI1/SI2,0.49ct,Round,,,,,"This beautiful 14k yellow gold ring features a lovely round sapphire with princess and brilliant diamonds surrounding it. The diamond color is G/H and SI1/SI2 clarity.Different ring sizes may be available. Please inquire for details.","Engagement > Gemstone Engagement Rings"
